timestamp;worker;score;status;violations;message
2026-05-13T15:54:50.111301+00:00;GuardianWorker;5;OK;;
2026-05-13T15:54:19.611089+00:00;GuardianWorker;5;OK;;
2026-05-13T15:54:12.425046+00:00;ButtWorker;1;FAIL;Nenhuma instância BUTT reconectada;
2026-05-13T15:53:48.917775+00:00;GuardianWorker;5;OK;;
2026-05-13T15:53:19.146618+00:00;GuardianWorker;5;OK;;
2026-05-13T15:52:48.784007+00:00;GuardianWorker;5;OK;;
2026-05-13T15:52:19.401305+00:00;GuardianWorker;5;OK;;
2026-05-13T15:52:14.400959+00:00;CuradoriaWorker;2;OK;;
2026-05-13T15:52:12.981497+00:00;WeatherWorker;1;OK;;
2026-05-13T15:52:12.401793+00:00;ButtWorker;1;FAIL;Nenhuma instância BUTT reconectada;
2026-05-13T15:52:12.189413+00:00;AuditWorker;-1;FAIL;Artista 'O RAPPA' repete na janela de 80 músicas.;
2026-05-13T15:51:48.480044+00:00;GuardianWorker;5;OK;;
2026-05-13T15:51:17.998079+00:00;GuardianWorker;5;OK;;
2026-05-13T15:50:48.447835+00:00;GuardianWorker;5;OK;;
2026-05-13T15:50:18.481547+00:00;GuardianWorker;5;OK;;
2026-05-13T15:50:12.313712+00:00;ButtWorker;1;FAIL;Nenhuma instância BUTT reconectada;
2026-05-13T15:49:48.350475+00:00;GuardianWorker;5;OK;;
2026-05-13T15:49:18.435606+00:00;GuardianWorker;5;OK;;
2026-05-13T15:48:48.672510+00:00;GuardianWorker;5;OK;;
2026-05-13T15:48:18.538215+00:00;GuardianWorker;5;OK;;
2026-05-13T15:48:12.304954+00:00;ButtWorker;1;FAIL;Nenhuma instância BUTT reconectada;
2026-05-13T15:47:48.401490+00:00;GuardianWorker;5;OK;;
2026-05-13T15:47:18.602151+00:00;GuardianWorker;5;OK;;
2026-05-13T15:47:14.243293+00:00;CuradoriaWorker;1;OK;;Nenhuma música pendente.
2026-05-13T15:46:48.391608+00:00;GuardianWorker;5;OK;;
2026-05-13T15:46:18.602779+00:00;GuardianWorker;5;OK;;
2026-05-13T15:46:12.305348+00:00;ButtWorker;1;FAIL;Nenhuma instância BUTT reconectada;
2026-05-13T15:45:48.438454+00:00;GuardianWorker;5;OK;;
2026-05-13T15:45:18.428959+00:00;GuardianWorker;5;OK;;
2026-05-13T15:44:47.993977+00:00;GuardianWorker;5;OK;;
2026-05-13T15:44:18.525072+00:00;GuardianWorker;5;OK;;
2026-05-13T15:44:12.317732+00:00;ButtWorker;1;FAIL;Nenhuma instância BUTT reconectada;
2026-05-13T15:43:48.385367+00:00;GuardianWorker;5;OK;;
2026-05-13T15:43:18.309634+00:00;GuardianWorker;5;OK;;
2026-05-13T15:42:48.360915+00:00;GuardianWorker;5;OK;;
2026-05-13T15:42:18.575052+00:00;GuardianWorker;5;OK;;
2026-05-13T15:42:14.170506+00:00;CuradoriaWorker;1;OK;;Nenhuma música pendente.
2026-05-13T15:42:12.304598+00:00;ButtWorker;1;FAIL;Nenhuma instância BUTT reconectada;
2026-05-13T15:41:48.469190+00:00;GuardianWorker;5;OK;;
2026-05-13T15:41:18.268319+00:00;GuardianWorker;5;OK;;
2026-05-13T15:40:48.368746+00:00;GuardianWorker;5;OK;;
2026-05-13T15:40:18.505245+00:00;GuardianWorker;5;OK;;
