worker;score_total;cycles;avg_efficiency;last_run
DummyWorker;4;2;2.00;2026-05-06T12:52:27.261010+00:00
FakeWorker_123;-10;1;-10.00;2026-05-06T15:58:39.883998+00:00
TestHistoryWorker;300;25;12.00;2026-05-06T16:03:12.216120+00:00
GuardianWorker;58560;11757;4.98;2026-05-13T15:54:50.111301+00:00
DownloaderWorker;79;9;8.78;2026-05-13T15:30:52.544643+00:00
ButtWorker;2938;2938;1.00;2026-05-13T15:54:12.425046+00:00
CuradoriaWorker;1192;1174;1.02;2026-05-13T15:52:14.400959+00:00
WeatherWorker;194;194;1.00;2026-05-13T15:52:12.981497+00:00
AuditWorker;-96;96;-1.00;2026-05-13T15:52:12.189413+00:00
SyncWorker;25;23;1.09;2026-05-11T11:37:09.358181+00:00
PlaylistWorker;-12;4;-3.00;2026-05-11T03:00:00.113504+00:00
UpdateWorker;-8;3;-2.67;2026-05-13T14:55:30.741792+00:00
